Field number	Name	CoordinateX	CoordinateY
000	ネスフェリン	646	1528
000	おばさん	1808	1962
000	占星術師ムーン	1051	3283
000	お嬢さん	3166	2018
000	ニック・ギネス	615	1836
000	エイドゥル	3235	1854
000	貴族	3299	1302
000	青年	3824	1620
000	クレメンタイン	1950	2686
000	おじいさん	2839	2025
000	鍛冶屋	2881	2446
000	クライド	2883	2680
000	貴族の男の子	5177	1648
000	ちびっこ	6206	2608
000	レイフ	3134	2442
000	ティモシー	3134	2679
000	青年	7901	2729
000	ちびっこ	8967	2771
000	おじさん	8792	2496
000	リファシェラン	11623	6133
000	青年	8933	3265
000	ちびっこ	6203	2520
000	ちびっこ	6140	2557
000	貴族	5953	2369
000	農民	5238	4738
000	おばさん	5316	4554
000	お嬢さん	7280	5252
000	ちびっこ	8394	4984
000	農民	9746	5138
000	流れ者	9544	4387
000	青年	9228	5076
000	おばさん	10400	5484
000	貴族の女の子	8568	2348
000	貴族	6530	2044
000	クレイム	6632	3340
000	貴族婦人	7450	3454
000	ハパン	3658	2864
000	フェルシオン	6494	2536
000	ベリーナ	5196	3231
000	カルテス	7681	3124
000	貴族婦人	6630	2660
000	ロングッシュ	7316	3272
000	ちびっこ	4638	1750
000	ウィル・フレド	4112	3154
000	おじさん	2284	3018
000	おじさん	2828	3250
000	青年	3084	3196
000	ドロシー	1567	1761
000	おばさん	1368	2680
000	おじさん	3314	3932
000	おじいさん	1882	4642
000	フローテック	3014	4545
000	ちびっこ	3010	5333
000	青年	2101	3655
000	ちびっこ	1120	1632
000	ちびっこ	6690	4836
000	おじいさん	5912	3828
000	リン・ジェイク	2508	1483
000	ステビン	6636	5281
000	トンキン	5085	2936
000	ティアン・エビラ	1627	2391
000	ブレンシー	9559	3772
000	ファーガソン	9262	1792
000	木こり	12465	625
000	木こり	12631	505
000	木こり	11962	137
000	ケイシー	10096	2396
000	ケイルン	2066	2044
000	チョキー	674	2655
000	ミカ	784	4675
000	クレンドル	411	5899
000	クラム	10704	4326
000	バリカス	2996	2026
000	サラ	4254	2032
000	お嬢さん	4482	2359
000	ドームック	4960	6047
000	パスィバル	2142	3413
000	リュウィンズ	11952	2856
000	貴族の女の子	5058	2638
000	ちびっこ	4474	2617
000	ちびっこ	4958	2187
000	ベスペン	5859	1803
000	青年	4961	2326
000	スィラバンダ	2541	5348
000	バルドゥル	12172	690
000	エルランドフォア	1255	324
000	スティントン	12205	6165
000	ヘンス	1303	2491
000	ティアラ	7393	5325
000	露店組合広報員	4918	2424
000	マルコム	4046	5303
000	コリン	2789	3079
000	おじさん	3315	2987
000	鍛冶屋	12508	6030
000	治療師	9128	1712
000	ブレナン	7526	3207
000	ホールガイド	2276	2145
000	鑑定士ティレン	1920	3635
000	クラカ	979	4420
000	ポラック	1045	4362
000	エニ	1173	4382
000	クライス	1109	4324
000	マリアンヌ	7893	3424
000	トルス	5083	2003
000	ホールテレポータ	4590	2510
000	バウマン	11684	5359
000	エミリー 	452	2846
000	イベントガイド	2592	2016
000	ピエンナ	8470	3147
000	オーベル	11797	6184
000	ジョン・マルコ	5579	2463
000	ジェネガー議員	7128	3522
000	小説家アーティー	10712	2949
000	ベルディノ公爵	4974	3365
000	クロアン子爵	2859	1340
000	ナイルローニ	4858	2507
000	グレーベルクリム	4314	2195
001	ジンレッド	10046	8072
001	グラリス	10404	6704
001	協会派遣員	3524	3168
003	ラピ･ド･セイジ	5659	320
005	リマオ	1270	974
005	ジュアン	1463	998
006	静寂のエルリーン	4522	1338
006	シンク	8754	7117
006	協会派遣員	10257	530
006	ペリックス	6171	7993
009	シュウ	3074	1332
010	ヘバ	11967	2384
010	アリエル	11775	2435
010	アトボン	11538	2449
010	協会派遣員	9637	3477
010	ベンデルカンプ	10157	2678
011	ストラッシュ	814	4085
011	ストラッシュ	8308	4029
011	ストラッシュ	3052	588
011	ストラッシュ	4601	3918
016	メコティンス	8115	663
016	伝道師	12567	1188
016	協会派遣員	12079	2439
018	プレイル	7788	3097
024	ケリオ	5282	335
026	マレラ	15014	2467
026	ピランデルス	6301	157
027	牢屋の番人	1069	443
028	魔法使い	858	261
028	鍛冶屋	2955	1533
028	ギルド紋章担当者	534	1860
028	クエストBugTest	1058	2016
028	MQ2 part 1~3	2332	1978
028	移動コンパニオン	1962	1221
028	商人	2927	1983
028	MQ3 part 1~4	2196	1838
028	MQ3 part 5~9	2334	1841
028	MQ3 part 10	2465	1851
028	MQ3 part 1~4取消	2195	1710
028	MQ3 part 5~9取消	2330	1710
028	MQ3 part 10取消	2465	1699
028	MQ4 part 1~4	1642	1816
028	MQ4 part 5~10	1736	1816
028	MQ4 BOSS jump	1639	1730
028	ギルド生成管理人	420	1921
028	Setコンパニオン	3030	1984
028	化石屋	736	1763
028	タイムモール	2427	1212
028	MQ2 part 4~7	2467	1979
028	MQ2 part 8~10	2197	1980
028	宝石袋の削除係	2341	2105
028	Ending出力テスト	2476	2104
028	MainQuestEnding	1912	2442
028	DXユニーク装備商	3126	1985
028	ミニペット商人	3028	1880
028	ギルドホールTest	423	2130
028	ホール石像管理人	650	1816
028	ギルド石像欠片	528	2131
028	ギルド石像欠片 1	633	2130
028	DXユニーク武器商	3127	1884
028	MQ4 アイテム	1729	1724
028	ギルド作成クエ	1253	2019
028	MQ1 part 1~3	1644	2029
028	MQ1 part 4~5	1774	2028
028	MQ1 part 6~7	1651	2157
028	MQ1 part 8	1783	2160
028	MQ1 part 9~10	1653	2305
028	テイマーPet案内	2864	945
028	MQ5 アイテム	1878	1741
028	MQ5	1961	1739
028	ラウンジモール	2931	1890
028	天上界アイテム	984	1624
028	サンタ	1646	1586
028	9段階セット	3113	1759
028	魂の演奏者	1509	1833
028	開封ギフト除去	1543	1587
028	地下界アイテム	883	1677
028	REDハンター称号	1877	1850
028	セーラ	2037	1739
028	赤い悪魔アイテム	1068	1587
028	新規アイテム	3110	1681
028	チケット受付	2323	1212
028	称号01	3514	1413
028	1段階セット	2797	1684
028	2段階セット	2878	1683
028	3段階セット	2953	1682
028	4段階セット	3030	1682
028	5段階セット	2798	1765
028	6段階セット	2877	1762
028	7段階セット	2955	1760
028	8段階セット	3030	1759
028	恩寵コンパニオン	2223	1211
028	称号02	3127	1410
