0,0,T01,"294, 219,322, 247",28,0,"303,229"
1,1,G07,"216, 160,275, 219","0, 1",0,"1,1"
2,6,G08,"273, 160,315, 219","2, 3",0,"1,2"
3,10,G13,"260, 219,295, 247","4, 5",0,"276,233"
4,16,G16,"322, 219,357, 254","6, 7, 8",0,"1,4"
5,24,G19,"294, 247,322, 275",9,0,"1,5"
6,29,G15,"357, 195,392, 230",10,0,"1,6"
7,30,M19,"392, 195,441, 261","12, 13",0,"1,7"
8,31,M12,"406, 161,427, 196","11, 38",0,"1,8"
9,36,T06,"427, 178,444, 195","14, 22",0,"1,9"
10,68,G24,"440, 195,510, 247",16,0,"1,10"
11,69,G26,"461, 246,531, 291","15, 21",0,"1,11"
12,70,G27,"498, 290,543, 314",17,0,"1,12"
13,71,T03,"529, 313,557, 341",-1,0,"1,13"
14,72,G29,"505, 340,564, 375",-1,0,"1,14"
15,73,G30,"443, 354,506, 417",23,0,"1,15"
16,74,T04,"468, 417,489, 438","18, 19, 20",0,"1,16"
17,127,G31,"505, 375,575, 417","25, 26, 27",0,"1,17"
18,128,G32,"489, 417,545, 466",-1,0,"1,18"
19,129,G04,"174, 113,241, 161",-1,0,"1,19"
20,130,G09,"315, 136,374, 195",24,0,"1,20"
21,131,G10,"375, 161,406, 196",-1,0,"1,21"
22,132,G14,"315, 195,357, 219",-1,0,"1,22"
23,154,D01,"42, 63,102, 126",-1,0,"1,23"
24,155,D02,"102, 64,168, 113","29, 30, 31, 32, 33, 34",0,"1,24"
25,156,D06,"116, 113,174, 148",-1,0,"1,25"
26,168,D03,"168, 64,234, 113",-1,0,"1,26"
27,169,D05,"52, 126,116, 147",35,0,"1,27"
28,171,T18,"102, 112,116, 126",-1,0,"1,28"
29,193,T08,"21, 73,42, 94",36,0,"1,29"
30,204,M14,"468, 164,510, 195",-1,0,"1,30"
31,205,M10,"458, 136,510, 164",41,0,"1,31"
32,206,M09,"458, 101,528, 136","39, 40",0,"1,32"
33,214,T11,"458, 164,469, 175",42,0,"1,33"
34,259,M11,"510, 136,580, 206","43, 44, 45, 46, 47",0,"1,34"
35,278,M07,"375, 108,427, 160",48,0,"1,35"
36,279,M05,"396, 60,448, 109","49, 50, 51",0,"1,36"
37,280,D17,"545, 417,608, 466",52,0,"1,37"
38,281,M24,"574, 365,623, 417",-1,0,"1,38"
39,310,T12,"623, 401,644, 422",-1,0,"1,39"
40,317,S24,"644, 401,679, 453",-1,0,"1,40"
41,300,G28,"623, 313,686, 376",61,0,"1,41"
42,302,D16,"595, 275,633, 313",-1,0,"1,42"
43,322,D08,"116, 147,154, 196",58,0,"1,43"
44,324,G06,"174, 161,216, 196",59,0,"1,44"
45,323,D11,"141, 195,179, 249",57,0,"1,45"
46,340,T16,"564, 365,574, 375",-1,1,"1,46"
