"잘 부탁해.",	"sal_in"
"그럼 힘내.",	"sal_ot"
"간다!",	"sal_s1"
"자! 받아!",	"sal_s2"
"해치웠다!",	"sal_fi"
"우리가 해냈어.",	"sal_bk"
"나랑 있으니 춥지 않지?",	"sal_n1"
"넌 내가 책임지고 지켜줄게.",	"sal_n2"
"사냥도 좋지만, 몸도 생각해 가면서 해.",	"sal_n3"
"성의는 고맙지만, 맛이 흐으음.",	"sal_e1"
"이거 꽤 맛있는 걸?",	"sal_e2"
"덕분에 정말 포식한다.",	"sal_e3"
"고마워. 니 덕분이야.",	"sal_lv"
"축하해. 앞으로도 힘내자.",	"sal_uu"
"부르셨나요?",	"und_in"
"다음에 뵈요.",	"und_ot"
"자, 가요!",	"und_s1"
"제가 도울게요!",	"und_s2"
"절 물로 보지 마요.",	"und_fi"
"우리들의 승리에요.",	"und_bk"
"모든 생명의 근원은 물이죠.",	"und_n1"
"비가 오면 기분이 좋아지지 않나요?",	"und_n2"
"힘드시죠. 여기 물 한 잔.",	"und_n3"
"뭔가 부족한 맛이네요.",	"und_e1"
"괜찮은 음식이군요.",	"und_e2"
"훌륭한 맛이예요.",	"und_e3"
"당신 덕분이에요. 고마워요.",	"und_lv"
"축하해요. 앞으로도 힘내요.",	"und_uu"
"모시게 되어 영광이옵니다.",	"sil_in"
"소녀는 물러가겠사옵니다.",	"sil_ot"
"받으시지요.",	"sil_s1"
"각오하시지요.",	"sil_s2"
"이정도론 어림도 없는 게지요.",	"sil_fi"
"역시 대단하옵니다.",	"sil_bk"
"공기의 흐름, 그 것이 바람이옵니다.",	"sil_n1"
"바람이 없으면, 배도 움직일 수 없었을 것이옵니다.",	"sil_n2"
"바람은 날씨에 큰 영향을 주옵니다.",	"sil_n3"
"오늘은 식욕이 별로 없사옵니다.",	"sil_e1"
"잘 먹겠사옵니다.",	"sil_e2"
"소녀에겐 과분한 대접이옵니다.",	"sil_e3"
"앞으로도 더 분발하겠사옵니다.",	"sil_lv"
"감축드리옵니다.",	"sil_uu"
"헤이호! 날 불렀는가!",	"gno_in"
"다음에도 즐겁게 만나세!",	"gno_ot"
"내가 돕겠네.",	"gno_s1"
"으라차차.",	"gno_s2"
"내 실력도 아직 녹슬지 않았군.",	"gno_fi"
"허허허. 월척이로세.",	"gno_bk"
"생명은 땅에서 태어나 땅으로 돌아간다네.",	"gno_n1"
"모험은 준비의 연속이지. 출발 전에 준비하는 습관을 가지게.",	"gno_n2"
"허허허. 웃는 건 좋은 습관이라네.",	"gno_n3"
"허허. 이런 푸대접은 처음일세.",	"gno_e1"
"허허. 정말 맛있군.",	"gno_e2"
"내 생애 먹어본 것 중에 최고일세.",	"gno_e3"
"허허! 정말 축하하네~",	"gno_lv"
"정말 축하하네. ",	"gno_uu"
"절 부르셨나요?",	"wis_in"
"저 삐졌어요.",	"wis_ot"
"괜찮죠?",	"wis_s1"
"난 몰라~",	"wis_s2"
